IP Address,Country,ORPort,Bandwidth (MiB/s),Flags,Nickname
172.236.51.90,au,9001,0.81,"Fast, HSDir, Running, Stable, V2Dir, Valid",TheMelbourne
116.255.1.163,au,9001,2.33,"Fast, HSDir, Running, Stable, V2Dir, Valid",badc0ded
172.105.166.172,au,443,0.98,"Fast, Running, Stable, Valid",mypersonalnickname
115.130.213.92,au,9001,0.38,"Running, Stable, V2Dir, Valid",cube
203.122.194.115,au,9001,0.76,"Fast, HSDir, Running, Stable, V2Dir, Valid",OptimusPrime
116.255.1.163,au,9004,1.54,"Fast, HSDir, Running, Stable, V2Dir, Valid",badc3ded
220.233.29.62,au,9001,0.00,"Running, V2Dir, Valid",MCassanitiHome
124.169.98.59,au,3101,0.85,"Fast, Running, V2Dir, Valid",lancaster
116.255.28.88,au,9001,0.84,"Fast, HSDir, Running, Stable, V2Dir, Valid",Unnamed
144.6.197.157,au,9002,1.06,"Fast, HSDir, Running, Stable, V2Dir, Valid",GentooLibre
139.99.171.125,au,443,0.98,"Fast, HSDir, Running, Stable, V2Dir, Valid",Mooloolaba
119.18.25.254,au,9001,1.15,"Fast, HSDir, Running, Stable, V2Dir, Valid",RUFFNetworks
103.216.220.187,au,55274,0.93,"Fast, Running, V2Dir, Valid",BattlefieldEarth
115.64.195.82,au,3818,1.34,"Fast, Running, V2Dir, Valid",PickANickname
124.187.101.155,au,9001,1.01,"Fast, Running, Stable, V2Dir, Valid",PodcastShaneRelay
103.1.184.202,au,443,1.13,"Fast, HSDir, Running, Stable, V2Dir, Valid",8thSin
103.1.185.91,au,16661,2.63,"Fast, Running, Stable, Valid",windows98se
116.255.17.25,au,9001,1.05,"Fast, Running, Stable, Valid",ieditedtheconfig
119.18.35.197,au,443,0.84,"Fast, HSDir, Running, Stable, V2Dir, Valid",p43alvator01
144.6.150.213,au,9001,0.61,"Fast, HSDir, Running, Stable, V2Dir, Valid",JARN
139.99.171.238,au,9001,1.30,"Fast, HSDir, Running, Stable, V2Dir, Valid",Unnamed
51.161.163.150,au,443,1.47,"Fast, Running, Stable, Valid",TorAu1
172.105.191.16,au,443,1.01,"Fast, HSDir, Running, Stable, V2Dir, Valid",HillbillyerRelay01
159.196.184.248,au,9001,0.93,"Fast, HSDir, Running, Stable, V2Dir, Valid",Tormama
139.99.170.213,au,443,0.87,"Fast, HSDir, Running, Stable, V2Dir, Valid",Brisbane
60.241.189.167,au,9010,2.36,"Fast, Running, V2Dir, Valid",torex
203.57.114.94,au,64806,1.45,"Fast, Running, Stable, Valid",Unnamed
185.177.229.228,au,9001,24.33,"Fast, Guard, HSDir, Running, Stable, V2Dir, Valid",Planetclaire62
139.99.170.71,au,443,0.90,"Fast, HSDir, Running, Stable, V2Dir, Valid",Launceston
